TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
28898,SC2Online OSC Masters Cup #112,151,StarCraft II,Online,Seychelles,SC,10/05/2018,20/05/2018,850.0,,,2018.0,76,458
27868,SP Gaming Tournament #5 Playoffs,245,Counter-Strike: Global Offensive,"Online / Final: Santiago, Chile",Chile,CL,30/04/2017,20/05/2018,1200.0,-37.7346256717,-71.3627814168,2017.0,15,932
28378,Ballistix Brawl: Qualifier 3,409,Rocket League,Online,,,19/05/2018,19/05/2018,500.0,,,2018.0,0,283
28990,BTSL S1: Vancouver,151,StarCraft II,"Vancouver, Canada",Bhutan,BT,18/05/2018,19/05/2018,8000.0,27.4216088934,90.4047032909,2018.0,16,458
40024,ESEA Rank S EU 05-13/05-19 2018,245,Counter-Strike: Global Offensive,Online,Spain,ES,13/05/2018,19/05/2018,5200.0,40.2274328729,-3.65226540732,2018.0,385,1018
27872,Gfinity CS:GO Winter Series 2018 - NA: Main Division,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,19/03/2018,19/05/2018,15000.0,,,2018.0,428,1018
27842,King of Nordic - Season 11: Week #6,245,Counter-Strike: Global Offensive,Online,,,18/05/2018,18/05/2018,588.8,,,2018.0,0,1018
27892,Kung Fu Cup 2018 - Weekly #5,151,StarCraft II,Online,,,17/05/2018,17/05/2018,500.0,,,2018.0,0,458
27934,Ballistix Brawl - Season 3 Weekly #5,151,StarCraft II,Online,,,16/05/2018,16/05/2018,200.0,,,2018.0,0,458
60207,Gfinity Summer Series 2018 - Cup 15,409,Rocket League,Online,,,16/05/2018,16/05/2018,303.3,,,2018.0,0,283
27785,Fusion.bet Masters,245,Counter-Strike: Global Offensive,Online,,,13/04/2018,15/05/2018,10000.0,,,2018.0,0,1018
60206,Gfinity Summer Series 2018 - Cup 14,409,Rocket League,Online,,,15/05/2018,15/05/2018,303.98,,,2018.0,0,283
